,freqs,ampl_over_asd,phi_inj,phi_ppe_map,phi_npe_map,phi_ppe_post_gr,phi_ppe_post_mod,phi_ppe_post,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
0,10.0,2.1091841543993432e+20,-673.4128435142919,-400.7573682523949,-685.8182981248746,-268.38350299720264,-399.98324612268783,-668.3667491198905,-199.14319337266443,-466.7700113928869,-665.9132047655513
1,10.032013775350212,2.358213460550756e+20,-669.026553893405,-397.7796576801755,-681.386414415168,-266.97836367322816,-397.01128743884897,-663.9896511120771,-198.12131557142578,-463.442279198758,-661.5635947701837
2,10.064130038881636,2.6089538584559203e+20,-664.6697452584355,-394.8240721166384,-676.9832607299272,-265.58061991631115,-394.0614110259657,-659.6420309422768,-197.10479036042292,-460.1383207656159,-657.2431111260388
3,10.096349118697642,2.860366337962316e+20,-660.3422145416629,-391.89044716836815,-672.6086521119132,-264.190232697793,-391.13345280817276,-655.3236855059658,-196.09358953362573,-456.85783892144826,-652.9514284550739
4,10.128671343951972,3.1035919488648e+20,-656.0437601010223,-388.9786196634272,-668.2623419514738,-262.80716319549254,-388.22724992872367,-651.0344131242161,-195.0876850341386,-453.60073460891766,-648.6884196430562
5,10.161097044852108,3.348973865528667e+20,-651.7741817099421,-386.08842764228024,-663.9440836389571,-261.4313727926043,-385.3426407409314,-646.7740135335357,-194.0870489534146,-450.36695829935536,-644.45400725277
6,10.193626552662666,3.5879146450807646e+20,-647.5332805472602,-383.2197103487832,-659.6538155219499,-260.0628230766029,-382.4794647991768,-642.5422878757797,-193.09165353046575,-447.15616329208035,-640.2478168225462
7,10.226260199708756,3.8234459387887374e+20,-643.3208591872166,-380.3723082212452,-655.3912909908003,-258.7014758381752,-379.6375628499853,-638.3390386881605,-192.10147115108458,-443.9682010010864,-636.069672152171
8,10.25899831937938,4.058204188981008e+20,-639.1367215895133,-377.54606288355143,-651.156386740682,-257.3472930701363,-376.8167768231695,-634.1640698933059,-191.11647434706086,-440.80307142637355,-631.9195457734344
9,10.291841246130861,4.283508776290144e+20,-634.9806730894468,-374.7408171363539,-646.9488561619434,-256.0002369663577,-374.01694982303485,-630.0171867893926,-190.13663579541466,-437.6604278672607,-627.7970636626753
10,10.324789315490229,4.507816201738683e+20,-630.8525203881145,-371.9564149483292,-642.768637602171,-254.66026992070152,-371.2379261196556,-625.8981960403571,-189.1619283176262,-434.54022079507916,-623.7021491127053
11,10.357842864058659,4.72668208795198e+20,-626.7520715426849,-369.19270144749913,-638.6154227993,-253.32735452597097,-368.47955114021215,-621.8069056661832,-188.1923248788677,-431.44220256648526,-619.634527445353
12,10.391002229514935,4.9398145029971214e+20,-622.6791359567467,-366.4495229126156,-634.4891501009173,-252.00145357283927,-365.74167146039093,-617.7431250332302,-187.22779858724462,-428.3663236528104,-615.5941222400551
13,10.42426775061886,5.150950223518971e+20,-618.6335243707202,-363.72672676461184,-630.3894495925448,-250.68253004882217,-363.02413479585493,-613.7066648446771,-186.26832269303767,-425.3124354680483,-611.580758161086
14,10.457639767214737,5.3536421693716896e+20,-614.6150488523426,-361.02416155811613,-626.3163212741825,-249.37054713722083,-360.3267899937711,-609.697337130992,-185.31387058795403,-422.28019131151797,-607.594061899472
15,10.491118620234836,5.553455855525344e+20,-610.6235227872197,-358.3416769730268,-622.2695801885914,-248.06546821608384,-357.64948702440336,-605.7149552404871,-184.36441580437042,-419.2695911832194,-603.6340069875898
16,10.5247046517029,5.748792321567468e+20,-606.6587608694418,-355.6791238061503,-618.2490413785323,-246.7672568571894,-354.99207697276654,-601.759333829956,-183.41993201459803,-416.2804864971464,-599.7004185117444
17,10.558398204737593,5.937810470965175e+20,-602.7205790922754,-353.0363539629063,-614.2545198867663,-245.4758768250023,-352.35441203034634,-597.8302888553486,-182.48039303012703,-413.31267913862405,-595.7930721687511
18,10.592199623556043,6.124200425739715e+20,-598.8087947389183,-350.4132204490869,-610.2858924084674,-244.19129207566803,-349.7363454868762,-593.9276375625442,-181.54577280091175,-410.36599575731185,-591.9117685582236
19,10.626109253477354,6.30421619942619e+20,-594.923226373314,-347.80957736268084,-606.3429123339833,-242.91346675598285,-347.1377317221762,-590.0511984781591,-180.61604541461264,-407.4403620602068,-588.0564074748195
20,10.660127440926118,6.48045697387271e+20,-591.0636938310454,-345.2252798857601,-602.4254563584883,-241.64236520240348,-344.5584261980556,-586.2007914004591,-179.69118509588415,-404.5355551682995,-584.2267402641836
21,10.694254533435956,6.653299782734584e+20,-587.2300182102842,-342.6601842764246,-598.53327787233,-240.37795194002206,-341.99828545027304,-582.376237390295,-178.77116620564482,-401.65150078858693,-580.4226669942318
22,10.728490879653096,6.820163627813958e+20,-583.4220218628084,-340.11414786080474,-594.6664385279216,-239.12019168157696,-339.4571670805547,-578.5773587621317,-177.855963240349,-398.7879512777255,-576.6439145180746
23,10.762836829339896,6.984521015841279e+20,-579.6395283850862,-337.58702902512897,-590.8245067583721,-237.86904932646306,-336.9349297486766,-574.8039790751396,-176.9455508312822,-395.9448075783778,-572.8903584096599
24,10.797292733378438,7.144240400654341e+20,-575.8823626094214,-335.0786872078451,-587.0075442160942,-236.62448995973088,-334.43143316460237,-571.0559231243333,-176.03990374383608,-393.12202016187496,-569.1619239057111
25,10.831858943774122,7.300184370831402e+20,-572.1503505951624,-332.5889828918017,-583.215119334197,-235.38647885111763,-331.9465380806783,-567.3330169317959,-175.13899687679896,-390.3192423275361,-565.4582392043351
26,10.866535813659238,7.453769010936243e+20,-568.4433196199784,-330.11777759649,-579.4473554175065,-234.15498145405994,-329.48010628389125,-563.6350877379512,-174.24280526166257,-387.53649883969547,-561.7793041013581
27,10.901323697296585,7.602096158378481e+20,-564.7610981711919,-327.66493387033927,-575.7038825515446,-232.92996340471603,-327.03200058817885,-559.9619639928949,-173.35130406189634,-384.7735915836782,-558.1248956455745
28,10.936222950083105,7.748351361090368e+20,-561.1035159371817,-325.2303152830729,-571.9847623887242,-231.71139052101668,-324.6020848267994,-556.313475347816,-172.4644685722686,-382.03037197347817,-554.4948405457468
29,10.971233928553483,7.891376153831114e+20,-557.4704037988391,-322.8137864181196,-568.2896250145674,-230.49922880168285,-322.19022384475886,-552.6894526464417,-171.58227421814735,-379.3067161874235,-550.8889904055709
30,11.00635699038381,8.030995547226138e+20,-553.8615938210916,-320.41521286508157,-564.6184087766611,-229.2934444252775,-319.7962834912931,-549.0897279165706,-170.70469655479928,-376.60250040384244,-547.3071969586417
31,11.041592494395248,8.168816727330441e+20,-550.276919244486,-318.03446121225767,-560.9709287177662,-228.09400374924846,-317.4201306124052,-545.5141343616536,-169.8317112667086,-373.9175017437257,-543.7492130104343
32,11.076940800557663,8.302835706110707e+20,-546.7162144768313,-315.67139903922396,-557.3471231854697,-226.9008733089888,-315.0616330434608,-541.9625063524496,-168.9632941668956,-371.2516706784046,-540.2149648453002
33,11.112402269993323,8.434939568519601e+20,-543.1793150849012,-313.32589490946765,-553.7466222652936,-225.71401981689223,-312.72065960183664,-538.4346794187288,-168.09942119623403,-368.60485862187295,-536.704279818107
34,11.147977264980597,8.564920298244814e+20,-539.6660577861978,-310.997818363076,-550.1696109144767,-224.53341016140587,-310.3970800796223,-534.9304902410281,-167.24006842276737,-365.9768922237902,-533.2169606465575
35,11.183666148957633,8.691942026991441e+20,-536.1762804407745,-308.6870399094815,-546.6156575661282,-223.35901140611068,-308.0907652363801,-531.4497766424907,-166.38521204104853,-363.36764766248456,-529.7528597035331
36,11.219469286526076,8.817649772340807e+20,-532.709822043118,-306.3934310202583,-543.084700567835,-222.1907907887834,-305.8015867919565,-527.9923775807399,-165.53482837145387,-360.7771001736217,-526.3119285450756
